,DAY,Time,SUBJECT,Batch,Room no.
,FRIDAY,06:30,FR,Batch_1,"2,6"
,FRIDAY,06:30,INT ADV AC,Batch_1,5
,FRIDAY,06:30,FINAL DT,Batch_1,1
,FRIDAY,06:30,FINAL SFM,Batch_1,3
,FRIDAY,09:40,INT AC RT,Batch_2,3
,FRIDAY,09:40,SSC,Batch_2,6
,FRIDAY,10:00,FOUNDATION,Batch_2,4
,FRIDAY,09:40,INT AUDIT,Batch_2,2
,FRIDAY,12:00,FM/ECO,Batch_3,2
,FRIDAY,12:00,FOUNDATION,Batch_3,4
,FRIDAY,12:00,SSC,Batch_3,6
,FRIDAY,12:40,INT DT RT,Batch_3,7
,FRIDAY,02:30,INTER ADV AC,Batch_4,2
,FRIDAY,03:15,INTER LAW RT,Batch_4,7
,FRIDAY,05:45,FINAL FR,Batch_5,3
,FRIDAY,05:30,FINAL IDT,Batch_5,7
,FRIDAY,05:30,FINAL AUDIT,Batch_5,4
,FRIDAY,05:45,FINAL DT RT,Batch_5,6
,FRIDAY,05:45,FINAL SCM,Batch_5,8
,FRIDAY,05:45,ADV. ACC,Batch_5,5
,SATURDAY,06:30,INT ADV AC,Batch_1,5
,SATURDAY,06:30,FINAL DT,Batch_1,1
,SATURDAY,06:30,FINAL SFM,Batch_1,3
,SATURDAY,09:40,INT AC RT,Batch_2,3
,SATURDAY,09:40,SSC,Batch_2,6
,SATURDAY,10:00,FOUNDATION,Batch_2,4
,SATURDAY,09:40,INT AUDIT,Batch_2,2
,SATURDAY,12:00,EIS/SM,Batch_3,2
,SATURDAY,12:00,FOUNDATION,Batch_3,4
,SATURDAY,12:00,SSC,Batch_3,6
,SATURDAY,12:40,INT DT RT,Batch_3,7
,SATURDAY,02:30,INTER ADV AC,Batch_4,2
,SATURDAY,03:15,INTER LAW RT,Batch_4,7
,SATURDAY,03:00,SSC(WEEKEND),Batch_4,6
,SATURDAY,05:45,FINAL FR,Batch_5,3
,SATURDAY,05:30,FINAL IDT,Batch_5,7
,SATURDAY,05:30,FINAL AUDIT,Batch_5,4
,SATURDAY,05:45,SSC (WEEKEND),Batch_5,6
,SATURDAY,05:45,FINAL SCM,Batch_5,8
,SATURDAY,05:45,FINAL DT,Batch_5,5
,SATURDAY,05:45,ADV. ACC,Batch_5,2
,SUNDAY,06:30,FINAL DT,Batch_1,1
,SUNDAY,09:40,INT AC RT,Batch_2,3
,SUNDAY,10:00,FOUNDATION,Batch_2,4
,SUNDAY,10:00,SSC(WEEKEND),Batch_2,6
,SUNDAY,09:40,INT AUDIT,Batch_2,2
,SUNDAY,12:00,FM/ECO,Batch_3,2
,SUNDAY,12:00,FOUNDATION,Batch_3,4
